@c 0.0709187403485
@x1 3.20259298038
@x0 0.00222558523024
@z 0.0416235240652
@t0 58629.5105804
time band flux fluxerr zp zpsys
58615.5105804 smg 1534.03446947 239.508277745 26.1339595656 ab
58617.5105804 smg 3858.78219407 927.704870091 26.8243479146 ab
58619.5105804 smg 9165.69753371 725.33894083 27.2102403053 ab
58620.5105804 smg 10217.2149015 143.034193448 27.3795211815 ab
58621.5105804 smg 5576.28988984 607.823823636 26.4610107378 ab
58623.5105804 smg 6298.50142389 1049.16075841 26.6348298694 ab
58624.5105804 smg 16733.3390245 8821.1254755 25.8069795726 ab
58626.5105804 smg 3666.09101562 2190.45568253 26.1348541192 ab
58628.5105804 smg 7441.6273254 2222.03678023 26.5514337695 ab
58630.5105804 smg 4763.3272446 17599.1354765 27.2794904607 ab
58632.5105804 smg 50339.9776543 1127.49468137 28.876949815 ab
58633.5105804 smg 30109.1625578 900.604162168 28.3337875857 ab
58635.5105804 smg 9439.68372871 789.843731708 27.121059635 ab
58636.5105804 smg 6787.50923296 188.535787234 26.7654919404 ab
58637.5105804 smg 4197.71562593 788.41557144 26.2604714759 ab
58638.5105804 smg 8315.07319724 2081.22151712 26.59920104 ab
58639.5105804 smg 14282.266551 1988.31405431 27.7112067451 ab
58640.5105804 smg 8670.37196255 514.874753545 27.1997386346 ab
58641.5105804 smg 8680.70894105 121.773038094 27.3208636311 ab
58642.5105804 smg 9211.31017432 1346.78394857 27.2162719051 ab
58644.5105804 smg -151.78654147 1241.03442962 25.3529204116 ab
58645.5105804 smg 3144.00158813 841.243881343 26.1228602213 ab
58646.5105804 smg 724.194927303 1921.41373894 26.5430993493 ab
58648.5105804 smg 6509.83213992 3645.67022434 25.7378869464 ab
58650.5105804 smg 1646.58754323 1049.64324484 26.7089349023 ab
58651.5105804 smg 6998.70634512 1334.11579756 28.0354047847 ab
58653.5105804 smg 4117.09753097 5181.98132719 26.3665767699 ab
58655.5105804 smg 9002.55074186 1194.77872489 28.0198290925 ab
58657.5105804 smg 6309.98855428 2260.30340448 27.0485158588 ab
58659.5105804 smg 3523.63709481 1241.09749106 26.467952033 ab
58660.5105804 smg -3545.44536973 2974.15267819 25.8585633383 ab
58662.5105804 smg -2533.77281663 6180.01815348 27.9466094131 ab
58663.5105804 smg 1867.98192086 1025.09182409 27.3596016608 ab
58665.5105804 smg 4062.80791734 2086.77721716 27.2763965636 ab
58666.5105804 smg 855.474501307 1278.58201288 26.7501822107 ab
58667.5105804 smg 1276.64680231 925.079695222 27.556631977 ab
58615.5107193 smr 343.585795125 237.408228299 24.951059599 ab
58617.5107193 smr 1942.44608247 926.079313043 25.6745532985 ab
58619.5107193 smr 3108.09472298 720.834227574 25.5533335436 ab
58620.5107193 smr 1395.76660063 106.905646529 25.2665775836 ab
58621.5107193 smr 885.469123771 604.787206679 25.0113851428 ab
58623.5107193 smr 3019.94904564 1047.0368162 25.4030480068 ab
58624.5107193 smr 25672.0298955 8821.07586926 25.5640312463 ab
58626.5107193 smr -572.73351424 2189.75895706 24.7319709013 ab
58628.5107193 smr 2773.45579239 2221.02074855 25.0794224267 ab
58630.5107193 smr -1257.91609368 17598.8331728 24.5037228691 ab
58632.5107193 smr 2141.14075056 1106.33934524 25.2294819851 ab
58633.5107193 smr 1798.82512821 884.92644387 24.8758527206 ab
58635.5107193 smr 1609.88090327 785.282220601 25.4515697795 ab
58636.5107193 smr 1385.79996495 173.696760061 24.8135851017 ab
58637.5107193 smr 3318.82994108 787.696621887 25.8830278103 ab
58638.5107193 smr 2433.33057585 2080.19869858 24.7695332252 ab
58639.5107193 smr 3757.31234349 1985.2325983 25.4842521284 ab
58640.5107193 smr 2430.86830431 508.583538366 25.6287149615 ab
58641.5107193 smr 1341.04366229 85.3387128604 25.3130263063 ab
58642.5107193 smr -1598.08543538 1344.38335041 25.2131225585 ab
58644.5107193 smr 1180.54820549 1241.00388894 25.3188780524 ab
58645.5107193 smr 338.468726233 840.548707997 25.3782326829 ab
58646.5107193 smr -309.319318985 1920.82470703 25.2102711064 ab
58648.5107193 smr 6230.47211558 3645.59832811 25.1057210744 ab
58650.5107193 smr 2592.52465276 1048.73051452 25.3061858483 ab
58651.5107193 smr 3165.84612723 1331.18180761 25.6256364322 ab
58653.5107193 smr -12673.8772081 5181.88073358 24.8385048735 ab
58655.5107193 smr 282.744606181 1192.18732619 25.0809540441 ab
58657.5107193 smr 7516.79727685 2260.31999866 26.306013169 ab
58659.5107193 smr 1602.33769617 1240.91851979 25.186154495 ab
58660.5107193 smr -2938.16197484 2974.21394776 25.3919059758 ab
58662.5107193 smr -4324.90940667 6179.73074042 25.2004413811 ab
58663.5107193 smr 842.177607254 1024.48564503 25.5704097754 ab
58665.5107193 smr -3067.07817107 2086.55218873 25.5310381492 ab
58666.5107193 smr 1288.43176006 1278.4129608 25.1880158979 ab
58667.5107193 smr 886.566870043 924.064334835 24.5463954965 ab
58615.5108582 smi 1302.25006319 238.127407761 25.8525861556 ab
58617.5108582 smi 2743.35656634 926.947222215 26.7239624428 ab
58619.5108582 smi 4109.55547932 722.296216533 26.7136396349 ab
58620.5108582 smi 7109.79185399 132.333301801 27.4214522749 ab
58621.5108582 smi 5375.88938348 607.688827504 26.8797755469 ab
58623.5108582 smi 5595.30062003 1048.63930862 26.9684039672 ab
58624.5108582 smi 12348.9204591 8821.03166769 25.5045931954 ab
58626.5108582 smi 3612.1178418 2190.22557354 26.4852557964 ab
58628.5108582 smi 2203.4356066 2221.01778293 25.7359414416 ab
58630.5108582 smi -564.507095772 17598.9530657 27.2051137399 ab
58632.5108582 smi 5575.48947663 1108.11834468 27.3521061832 ab
58633.5108582 smi 1992.09312096 884.91191622 25.6582093808 ab
58635.5108582 smi -153.174491647 784.654608124 25.4960666963 ab
58636.5108582 smi 7421.63965772 189.608206099 27.5998522493 ab
58637.5108582 smi 1882.68482422 786.79530634 25.9005128557 ab
58638.5108582 smi 6228.49696011 2080.45018835 26.3423470267 ab
58639.5108582 smi 2447.41126152 1985.96067435 27.3110137676 ab
58640.5108582 smi 2366.2113123 508.358262094 26.29893891 ab
58641.5108582 smi 14967.8132621 143.967626477 28.7146935808 ab
58642.5108582 smi 2773.26821999 1345.03870567 27.0693700867 ab
