@c 0.184253029827
@x1 -1.25665775828
@x0 0.000513899065178
@z 0.0840291895109
@t0 57895.1220005
time band flux fluxerr zp zpsys
57889.1220005 smg 1217.77391953 476.05826565 26.3794454831 ab
57894.1220005 smg 1979.1300995 476.139925666 26.1806767705 ab
57899.1220005 smg 2052.63691539 477.391069656 27.1398745038 ab
57904.1220005 smg 1917.87514567 476.151962843 26.6475813934 ab
57909.1220005 smg 773.643845918 476.088756095 27.0607230305 ab
57914.1220005 smg 800.515051771 476.012115655 27.5198545735 ab
57919.1220005 smg -76.6820857011 475.144509859 25.0851579467 ab
57924.1220005 smg -435.548790214 475.285831859 26.7687371778 ab
57929.1220005 smg 432.219696654 475.225414626 26.6862287668 ab
57934.1220005 smg -433.471670079 475.292162315 27.2675283798 ab
57939.1220005 smg -174.525051584 475.135787697 25.9528538354 ab
57944.1220005 smg -123.774193932 475.233988608 27.1676196625 ab
57889.1221394 smr 517.525910256 342.521566815 25.6976126876 ab
57894.1221394 smr 1581.1131474 343.620672446 26.3292495607 ab
57899.1221394 smr 6.6818763973 342.232853567 24.9160779115 ab
57904.1221394 smr 315.70599687 342.162010157 25.0002744816 ab
57909.1221394 smr 481.294980348 342.39529909 25.7359485166 ab
57914.1221394 smr 345.472191035 342.674498681 26.3164182727 ab
57919.1221394 smr 246.483318791 342.280323632 25.9634731268 ab
57924.1221394 smr 357.874904035 341.827242275 24.5732042282 ab
57929.1221394 smr 252.400945964 342.112721213 26.2461765691 ab
57934.1221394 smr -87.8549911326 342.21598871 26.7523485348 ab
57939.1221394 smr -28.6971059333 341.852303022 25.5254778787 ab
57944.1221394 smr -114.564640699 341.833248967 25.4979944104 ab
57889.1222783 smi 810.406063529 232.51117737 26.3536395497 ab
57894.1222783 smi 807.676159838 232.483660551 26.2399336651 ab
57899.1222783 smi 837.724614512 232.393022799 26.2919673469 ab
57904.1222783 smi 388.794988889 230.86146247 24.9869418755 ab
57909.1222783 smi 1501.06117591 232.848560107 27.092068159 ab
57914.1222783 smi 506.335447889 232.690964751 26.9620871164 ab
57919.1222783 smi 224.832300063 231.493485315 26.1007408567 ab
57924.1222783 smi 554.667863088 231.223346088 25.9709073371 ab
57929.1222783 smi 328.539005947 231.073259538 26.1074748165 ab
57934.1222783 smi 515.681005957 231.290753257 26.7820976324 ab
57939.1222783 smi 582.526219475 230.851496357 26.2342428057 ab
57944.1222783 smi 499.931169108 231.530249419 27.4891036054 ab
57889.1224172 smv 146.203942042 153.731801513 24.6020950758 ab
57894.1224172 smv 84.1104421702 154.020767494 25.1042740935 ab
