@c -0.1781694429
@x1 -0.466385572027
@x0 0.000292667883726
@z 0.109390426581
@t0 57866.402012
time band flux fluxerr zp zpsys
57860.402012 smg -329.354851728 1318.33965914 26.0927650395 ab
57861.402012 smg -746.326322884 878.483988384 25.0146896255 ab
57863.402012 smg 12220.0971918 8118.05333811 27.9350164592 ab
57865.402012 smg 2019.09117396 655.883185565 27.5422944023 ab
57866.402012 smg 1896.15169545 372.963126049 27.660908312 ab
57868.402012 smg 3289.09905802 3664.72312982 26.721502323 ab
57870.402012 smg -10804.4577913 4889.89852471 27.3197458313 ab
57872.402012 smg 1893.36355057 1080.56927338 26.7236555137 ab
57874.402012 smg 3352.33601458 2280.65400369 25.0710519341 ab
57876.402012 smg 2314.06663472 635.176484597 26.7503153576 ab
57878.402012 smg 449.468024503 4686.99593286 26.6502915309 ab
57879.402012 smg -93.3020093341 976.685020711 26.9422842795 ab
57880.402012 smg -1239.75508039 900.994847272 26.2019492769 ab
57882.402012 smg 1810.45160225 1334.15057896 27.457265118 ab
57883.402012 smg -1803.54286033 1183.88702018 26.3237913917 ab
57884.402012 smg 1160.19546352 520.879655186 27.0844841721 ab
57885.402012 smg 13057.1465361 16056.1548263 25.9322805721 ab
57886.402012 smg 644.36386486 541.267145426 26.3164541056 ab
57887.402012 smg -700.210161431 1649.77078995 26.1261503041 ab
57889.402012 smg 1809.508839 1082.55923294 27.6346091348 ab
57891.402012 smg -878.082356299 4579.81014321 26.9920599009 ab
57893.402012 smg -951.008131641 2153.24286604 27.44968646 ab
57895.402012 smg 579.717858532 169.778899437 26.6367982306 ab
57896.402012 smg 3740.51927404 5417.68573194 27.3862757216 ab
57898.402012 smg -218.419999023 367.283604377 27.1074429162 ab
57899.402012 smg 731.118908185 2512.62442419 26.5040038639 ab
57900.402012 smg 478.76829606 579.769788339 27.7694334522 ab
57860.4021509 smr -124.143497507 1318.23982256 25.3586227957 ab
57861.4021509 smr 196.296539298 878.473250428 25.1829553709 ab
57863.4021509 smr 7289.63127773 8117.8947597 25.2428716042 ab
57865.4021509 smr -324.803652224 654.587164604 25.7081005377 ab
57866.4021509 smr 473.059421432 370.279561783 25.3828777323 ab
57868.4021509 smr 5599.62418624 3664.62666419 25.241454939 ab
57870.4021509 smr 1664.28598728 4889.7728008 25.4355563973 ab
57872.4021509 smr 154.454771899 1080.27945685 24.9366607884 ab
57874.4021509 smr 1821.50258404 2280.64703169 24.8557302692 ab
57876.4021509 smr 1255.52521161 634.804766217 25.0571134515 ab
57878.4021509 smr 5498.10898261 4686.95788474 25.0107633671 ab
57879.4021509 smr 174.842095219 976.503371379 25.7526223748 ab
57880.4021509 smr 787.915971753 900.911102748 25.106440857 ab
57882.4021509 smr 699.191215762 1333.93338381 25.080327876 ab
57883.4021509 smr -553.13909749 1183.83655322 25.1529742722 ab
57884.4021509 smr -142.079736044 520.574650803 24.955114949 ab
57885.4021509 smr -34847.0287691 16056.1536611 25.1444874561 ab
57886.4021509 smr 641.514251969 541.183887369 24.9801127377 ab
57887.4021509 smr 2005.19833098 1649.78111061 25.8831695824 ab
57889.4021509 smr -477.920788372 1082.44060057 26.0097764264 ab
57891.4021509 smr 1691.78488371 4579.79588439 25.1562372758 ab
57893.4021509 smr 3614.92340786 2153.19722495 25.1865322809 ab
57895.4021509 smr 85.8308744283 169.638426194 25.2012707543 ab
57896.4021509 smr 2073.84176461 5417.67385733 25.4509900727 ab
57898.4021509 smr -251.820361621 367.162871726 25.1406686186 ab
57899.4021509 smr -1119.65347678 2512.61657874 24.8474760792 ab
57900.4021509 smr 81.6828163443 579.637563186 25.7096478217 ab
57860.4022898 smi 2910.00935088 1318.53237026 27.4915418115 ab
57861.4022898 smi 259.195440703 878.445320257 25.0465229 ab
57863.4022898 smi -10213.9668032 8117.9117092 26.6213475026 ab
57865.4022898 smi 1298.88960862 654.772192334 26.7891071331 ab
57866.4022898 smi 586.825629735 370.524510212 26.4842880763 ab
57868.4022898 smi -2865.26162611 3664.64413451 26.2676138931 ab
57870.4022898 smi -583.064834183 4889.79173914 26.5654118927 ab
57872.4022898 smi -1312.41226493 1080.29103448 25.6043410571 ab
57874.4022898 smi 896.23677831 2280.65396521 25.6347723488 ab
57876.4022898 smi -283.176783846 634.85949577 26.105573626 ab
57878.4022898 smi -9088.01006417 4686.95467559 25.2407764075 ab
57879.4022898 smi -1118.72212778 976.522231274 26.5055991519 ab
57880.4022898 smi -708.930567964 901.18978981 27.5441883441 ab
57882.4022898 smi 441.043919965 1334.04271557 27.0786110328 ab
57883.4022898 smi 2603.09490373 1183.8489579 25.8621832001 ab
57884.4022898 smi -250.768995647 520.745116774 26.6326247347 ab
57885.4022898 smi -9158.38383844 16056.1592495 26.6812442839 ab
57886.4022898 smi 302.983718806 541.603012563 27.4122197593 ab
57887.4022898 smi 501.581448554 1649.92258176 27.5937933519 ab
57889.4022898 smi 1591.38107629 1082.60217799 27.3679659976 ab
57891.4022898 smi -1647.67083141 4579.83201201 27.0997891381 ab
57893.4022898 smi 4158.60067681 2153.22317774 26.2478965195 ab
57895.4022898 smi 479.622615256 170.97450085 27.4743398539 ab
57896.4022898 smi 5862.8111115 5417.67968663 26.0549402363 ab
57898.4022898 smi -134.658390265 367.278457147 26.1397009497 ab
57899.4022898 smi -1184.2849184 2512.64804066 26.5977736388 ab
57900.4022898 smi 1312.17808824 579.674512224 26.1036197342 ab
