@c -0.174033048052
@x1 6.50339754641
@x0 0.00445706923359
@z 0.0296707274238
@t0 57910.8917169
time band flux fluxerr zp zpsys
57898.8917169 smg 3888.75801638 423.587652892 25.6651906492 ab
57900.8917169 smg 9847.03324071 1034.94297269 26.4973776779 ab
57902.8917169 smg 30802.8000552 645.472101977 27.587756116 ab
57903.8917169 smg 7594.0636913 231.979494035 26.0657952497 ab
57904.8917169 smg 4499.11796143 327.099234499 25.4613070519 ab
57906.8917169 smg 25049.3618263 884.206197664 27.3904333795 ab
57907.8917169 smg 9945.07046747 2629.29823599 26.5147938412 ab
57908.8917169 smg 11335.5335493 1466.94682132 26.7388349436 ab
57909.8917169 smg 367.321940141 7324.73281628 26.4776315355 ab
57910.8917169 smg 4002.92857135 4836.65040556 25.1722789588 ab
57912.8917169 smg 11810.188321 2391.27367831 26.8116223219 ab
57913.8917169 smg 13957.3369651 1083.83324409 26.923664798 ab
57915.8917169 smg 13307.9353219 701.688360757 26.7632300429 ab
57917.8917169 smg 7083.10569026 1666.43444653 26.2441693912 ab
57918.8917169 smg 8891.90499479 1276.20597917 26.3704908796 ab
57920.8917169 smg 11914.2527449 229.415969921 26.6556472054 ab
57922.8917169 smg 38799.9815502 280.025867386 28.054851461 ab
57923.8917169 smg 16158.4743206 945.665007477 27.1325949666 ab
57924.8917169 smg 19352.2336903 937.834689368 27.3364250124 ab
57925.8917169 smg 7060.30384985 2356.9712745 26.0615058951 ab
57927.8917169 smg 11206.0944637 1385.48891786 26.9147255472 ab
57928.8917169 smg 12279.2770036 1121.5184611 27.0952601757 ab
57929.8917169 smg 11205.1466474 744.844161599 27.0677815431 ab
57931.8917169 smg 23958.2936757 2178.50080799 28.0045422962 ab
57932.8917169 smg 3431.72042321 407.380527064 26.0349083583 ab
57934.8917169 smg 16898.9519317 609.230561121 27.9014702327 ab
57936.8917169 smg 4817.09477636 82.6062711333 26.5843445364 ab
57938.8917169 smg 4703.43902846 4347.42137325 27.3118516458 ab
57940.8917169 smg 6042.83192692 2816.20331518 26.1972437311 ab
57941.8917169 smg 974.762405752 3435.6361551 26.9850120753 ab
57943.8917169 smg 10665.6714962 328.953948134 27.9803141864 ab
57945.8917169 smg 3290.6325408 1478.73046675 26.7456805248 ab
57946.8917169 smg 4766.54949711 3632.81011306 27.3754680688 ab
57947.8917169 smg 10392.4967685 1094.9791014 28.3196099941 ab
57948.8917169 smg 993.747675319 1471.97113882 25.9777349151 ab
57949.8917169 smg 4100.55873806 1531.37383194 27.0204422045 ab
57950.8917169 smg 11388.3967255 956.396755454 28.4703522041 ab
57951.8917169 smg 6558.84975158 505.635602231 27.8560653308 ab
57953.8917169 smg 322.722874993 200.38179018 25.2529857365 ab
57954.8917169 smg 5485.6341611 1177.83989437 28.0126317286 ab
57898.8918558 smr 1826.12021228 421.024598805 25.2663277482 ab
57900.8918558 smr 1789.04977064 1030.83511459 25.1955384533 ab
57902.8918558 smr 1977.7382027 622.325348799 25.1087998924 ab
57903.8918558 smr 2443.51271627 219.569585931 25.229450298 ab
57904.8918558 smr 1945.62738598 323.704780879 25.2527218693 ab
57906.8918558 smr 3811.15407277 870.868001003 25.2908349289 ab
57907.8918558 smr 1927.78427696 2627.85253857 25.7248692902 ab
57908.8918558 smr 2505.55626664 1462.84175114 24.6201198471 ab
57909.8918558 smr 2815.05254496 7324.23828651 25.5457096135 ab
57910.8918558 smr 1269.52068703 4836.50319192 24.8604334248 ab
57912.8918558 smr 821.365791013 2388.76817451 24.8794203388 ab
57913.8918558 smr 4623.96749783 1078.7523163 25.8445659689 ab
57915.8918558 smr 2315.01575848 694.051579264 25.2491307607 ab
57917.8918558 smr 3910.58876324 1664.74858498 25.2779446275 ab
57918.8918558 smr 846.18732517 1273.50332603 25.1380025605 ab
57920.8918558 smr 1825.39491086 207.500701713 25.0470888744 ab
57922.8918558 smr 1513.84930481 202.398299374 24.9659808959 ab
57923.8918558 smr 2710.48523321 938.705998861 25.6796157793 ab
57924.8918558 smr 1693.38780527 928.946867832 25.144357148 ab
57925.8918558 smr 1366.47525954 2356.0737761 24.8762160069 ab
57927.8918558 smr 2587.00777339 1382.30150113 25.5336774992 ab
57928.8918558 smr 2383.19591343 1117.22025907 25.8537242008 ab
57929.8918558 smr 1434.19514272 738.065876809 25.0156529713 ab
57931.8918558 smr 4209.43781205 2173.61550839 25.5886338731 ab
57932.8918558 smr 1565.28137297 405.006782008 25.3358573909 ab
57934.8918558 smr 2230.24970996 596.244069056 25.097821973 ab
57936.8918558 smr 2354.59963095 66.971798867 25.5664558167 ab
57938.8918558 smr -1425.21342106 4346.59780993 24.8680323399 ab
57940.8918558 smr 15.1788940584 2816.21352617 25.6715143994 ab
57941.8918558 smr 2724.47057172 3435.07769973 24.9609411089 ab
57943.8918558 smr 1782.68701146 314.392496182 25.3255852538 ab
57945.8918558 smr 3525.33821137 1478.08173015 24.9098246779 ab
57946.8918558 smr 8161.39400724 3632.39441275 25.6063404656 ab
57947.8918558 smr 905.363706797 1090.15879411 24.8191617393 ab
57948.8918558 smr -483.28387592 1471.87016069 24.8527112357 ab
57949.8918558 smr -344.704164856 1530.7650859 25.1880956697 ab
57950.8918558 smr -195.341331799 950.970569141 24.6798454316 ab
57951.8918558 smr 1987.00401946 501.900626492 26.0073055989 ab
57953.8918558 smr 1616.32737936 202.005661791 25.4524667745 ab
57954.8918558 smr -493.279864038 1175.51590686 25.0072043473 ab
57898.8919946 smi 14867.6501412 435.140563083 27.8187018671 ab
57900.8919946 smi 2232.53445368 1030.8622754 25.5876539864 ab
57902.8919946 smi 2924.83192211 622.614678728 25.7630149963 ab
57903.8919946 smi 703.338466188 216.069845679 24.5406616246 ab
57904.8919946 smi 10161.3105528 336.467490163 27.5198409096 ab
57906.8919946 smi 3427.68935069 871.848906083 26.5711176203 ab
57907.8919946 smi 7628.04467356 2627.65691444 26.0861932539 ab
57908.8919946 smi 5004.26254939 1463.99317571 26.8257506123 ab
57909.8919946 smi 1385.31052598 7324.26549319 26.5704795975 ab
57910.8919946 smi -1698.22750337 4836.87802614 27.1402701928 ab
57912.8919946 smi 956.936114634 2389.1066439 26.7729416785 ab
57913.8919946 smi 4519.1077474 1078.31426833 26.7354367532 ab
57915.8919946 smi 3730.78678453 695.023134677 26.8253957409 ab
57917.8919946 smi 10713.4801955 1666.26084226 27.5359187537 ab
57918.8919946 smi 1836.41890139 1273.1799177 25.654475065 ab
57920.8919946 smi 2297.93536851 209.096628247 26.4298389512 ab
57922.8919946 smi 8623.95245631 218.382998208 27.9151480595 ab
57923.8919946 smi 2171.34778491 938.329734887 26.5857667594 ab
57924.8919946 smi 2961.22398969 928.909913277 26.4415705223 ab
57925.8919946 smi -4687.78692465 2356.16554847 26.7264833362 ab
57927.8919946 smi -696.238150518 1381.88370072 26.1375090333 ab
57928.8919946 smi 531.721494179 1116.22201275 24.7932603203 ab
57929.8919946 smi 927.190369035 737.800207527 26.4189359536 ab
57931.8919946 smi 2030.9729378 2173.47263838 27.232119164 ab
57932.8919946 smi 453.297397417 403.475176856 25.7400999892 ab
57934.8919946 smi 3374.94267626 597.62278267 27.6424164646 ab
57936.8919946 smi 867.356303663 54.4405179458 25.5221067139 ab
57938.8919946 smi 1880.25698504 4347.40547643 27.6487139492 ab
57940.8919946 smi -1302.05179561 2816.15110672 26.1168445086 ab
57941.8919946 smi 2974.0753406 3435.40914299 26.5178904282 ab
57943.8919946 smi 13431.1002044 332.474661699 27.873531617 ab
57945.8919946 smi 2878.67249745 1478.82286873 26.376276136 ab
57946.8919946 smi 6683.58331976 3632.99938474 27.1227898504 ab
57947.8919946 smi 6661.48105336 1092.81641245 27.2058187898 ab
57948.8919946 smi 6244.51135496 1473.60122802 27.1392156669 ab
57949.8919946 smi 4687.18954682 1531.46372099 26.5697024769 ab
57950.8919946 smi 9840.28693648 955.963492384 27.8692162405 ab
57951.8919946 smi 5518.97231923 505.049625717 27.2578847505 ab
57953.8919946 smi 500.290877618 200.261213563 24.7163530719 ab
57954.8919946 smi 4278.79130527 1176.58394091 26.9052700341 ab
