@c -0.107969760447
@x1 3.45371927035
@x0 0.000887821422615
@z 0.0648090738294
@t0 57791.4432191
time band flux fluxerr zp zpsys
57783.4432191 smg 17759.9672253 5001.80819704 28.8819987397 ab
57785.4432191 smg 1928.36262372 5000.11490661 25.797029325 ab
57787.4432191 smg 11831.8141906 5000.71550021 27.7533252896 ab
57788.4432191 smg 2544.26200615 5000.12495734 25.8608111566 ab
57790.4432191 smg 7463.4597044 5000.30338548 26.8318313968 ab
57792.4432191 smg 768.649198271 5000.33873413 26.9670833728 ab
57793.4432191 smg -3026.87314391 5000.2095147 26.4572972122 ab
57795.4432191 smg 1269.22827723 5000.08468528 25.50518953 ab
57796.4432191 smg 2688.21572589 5000.15535547 26.1834332055 ab
57798.4432191 smg -1919.7704472 5000.14801069 26.1770954383 ab
57799.4432191 smg 2397.90013765 5000.52677808 27.5820917616 ab
57801.4432191 smg -3429.436836 5000.24952216 26.8372215195 ab
57802.4432191 smg 3.52357278058 5000.20383515 26.6612555858 ab
57804.4432191 smg 1744.12651858 5000.05361548 25.3253830824 ab
57805.4432191 smg -3179.97033383 5000.21497806 26.9043720887 ab
57807.4432191 smg -6111.9709607 5000.12265331 26.4362188888 ab
57809.4432191 smg -2215.58128182 5000.29965112 27.5360271182 ab
57810.4432191 smg 6775.63763323 5000.17990363 27.046732321 ab
57811.4432191 smg 2729.50745056 5000.03679268 25.3957274947 ab
57813.4432191 smg 5131.86253855 5000.25765748 27.6806359772 ab
57814.4432191 smg 2342.65934438 5000.16203889 27.27034532 ab
57816.4432191 smg -1999.56660514 5000.28593585 28.0493420191 ab
57818.4432191 smg -7184.87629658 5000.13565883 27.3559444122 ab
57819.4432191 smg -582.723945285 5000.08415994 26.8875544868 ab
57820.4432191 smg -5517.71969936 5000.13510895 27.4577339678 ab
57821.4432191 smg 6769.84576377 5000.09391491 27.1246469238 ab
57822.4432191 smg 9637.86429823 5000.0117594 24.9363883714 ab
57824.4432191 smg 8354.15246216 5000.1454618 27.8223623858 ab
57825.4432191 smg 9884.33746814 5000.18648317 28.1739231055 ab
57827.4432191 smg -6563.86380664 5000.01894855 25.841767068 ab
57829.4432191 smg 8653.79791761 5000.02652361 26.3374637815 ab
57831.4432191 smg -487.140319992 5000.09295843 27.8067856453 ab
57832.4432191 smg 7727.93209755 5000.02735455 26.5231707623 ab
57833.4432191 smg 2195.26626626 5000.02920356 26.6335996413 ab
57835.4432191 smg 2113.00882769 5000.03612677 26.9320882822 ab
57836.4432191 smg 2444.79812695 5000.01301526 25.8518566807 ab
57837.4432191 smg 5136.18261745 5000.05948736 27.5263960777 ab
57838.4432191 smg -378.385228405 5000.07875833 27.8522094246 ab
57783.443358 smr -3536.35009089 5000.0533503 25.3832314515 ab
57785.443358 smr -1284.22030843 5000.06149088 25.4285704007 ab
57787.443358 smr 4340.21044299 5000.08032516 25.6648743332 ab
57788.443358 smr -5523.90595068 5000.04085671 24.9181779253 ab
57790.443358 smr 3698.88672957 5000.08028807 25.6298308694 ab
57792.443358 smr 8022.53238711 5000.02444765 24.3252290253 ab
57793.443358 smr 10866.3130745 5000.0643247 25.3737874738 ab
57795.443358 smr -4106.0493343 5000.0483929 25.0710227626 ab
57796.443358 smr -2333.94776069 5000.03710992 24.7918067719 ab
57798.443358 smr -430.801660025 5000.0488996 25.1233265551 ab
57799.443358 smr 4141.24580823 5000.05080673 25.1873637278 ab
57801.443358 smr 605.782331286 5000.04708938 25.1675676948 ab
57802.443358 smr -2781.52368094 5000.03945447 25.0189415424 ab
57804.443358 smr -106.219356242 5000.09744794 26.1183483476 ab
57805.443358 smr -1800.99050894 5000.03155439 24.9676597363 ab
57807.443358 smr -1491.16233176 5000.03026364 25.0446073073 ab
57809.443358 smr 7080.49828398 5000.0396355 25.4016985293 ab
57810.443358 smr 6459.02954721 5000.02975241 25.1038222202 ab
57811.443358 smr 3005.00698708 5000.02348115 24.8577007603 ab
57813.443358 smr 1276.5897401 5000.02320851 24.8597618368 ab
57814.443358 smr -3381.23910715 5000.02879171 25.0963715616 ab
57816.443358 smr -2821.15094875 5000.04347352 25.5358148958 ab
