@c 0.0391491865703
@x1 3.18919287718
@x0 0.00133216008346
@z 0.0533452810595
@t0 57822.8867351
time band flux fluxerr zp zpsys
57808.8867351 smg 4507.61239401 72.5431469911 27.863863559 ab
57813.8867351 smg 10258.3285197 105.147337196 27.919795149 ab
57818.8867351 smg 3114.52762516 62.3349929753 26.4257872809 ab
57823.8867351 smg 4833.53240867 75.2393566948 26.9159657391 ab
57828.8867351 smg 3701.51717492 66.3293055921 26.6880529732 ab
57833.8867351 smg 6863.60580265 87.7529387122 27.5478978002 ab
57808.886874 smr 351.821944109 30.8477590524 25.1315317202 ab
57813.886874 smr 634.325353161 35.8638003635 25.1112913312 ab
57818.886874 smr 605.556617002 36.0597923462 24.8899105862 ab
57823.886874 smr 1911.75458747 50.5802204394 25.929646639 ab
57828.886874 smr 1426.9464614 45.5590650479 25.6562901684 ab
57833.886874 smr 1111.21567971 42.0064593037 25.5656664673 ab
57808.8870129 smi 984.874537782 41.655344815 26.6441093903 ab
57813.8870129 smi 3964.13982496 68.2120559622 27.310253225 ab
57818.8870129 smi 1280.58899153 44.4851552271 26.1164105395 ab
57823.8870129 smi 3252.98526762 63.1469809062 27.2828162766 ab
57828.8870129 smi 8555.32711414 96.665024907 28.3665535579 ab
57833.8870129 smi 1109.67848042 41.6130678367 26.262509139 ab
57805.8867351 kst 113.016215173 11.1285235166 25.47 ab
57806.1367351 kst 143.542807053 11.9015963602 25.47 ab
57806.3867351 kst 170.576506378 12.703345685 25.47 ab
57806.6367351 kst 201.713234889 13.517652788 25.47 ab
57806.8867351 kst 219.222471243 14.3315541332 25.47 ab
57807.1367351 kst 207.696596885 15.135357554 25.47 ab
57807.3867351 kst 255.233937192 15.9369439901 25.47 ab
57807.6367351 kst 251.143222492 16.737043323 25.47 ab
57807.8867351 kst 297.956826434 17.5298002988 25.47 ab
57808.1367351 kst 332.116160514 18.3103677074 25.47 ab
57808.3867351 kst 339.640549455 19.0883543029 25.47 ab
57808.6367351 kst 415.893853393 19.8652244496 25.47 ab
57808.8867351 kst 422.176422401 20.6252676737 25.47 ab
57809.1367351 kst 441.896362569 21.3549813519 25.47 ab
57809.3867351 kst 509.09358543 22.0552913715 25.47 ab
57809.6367351 kst 536.195166506 22.7419817367 25.47 ab
57809.8867351 kst 545.175107938 23.4025863282 25.47 ab
57810.1367351 kst 591.419468088 24.0249425675 25.47 ab
