@c 0.0659576040792
@x1 4.77952126999
@x0 0.000937803954417
@z 0.0631339884456
@t0 58434.5597757
time band flux fluxerr zp zpsys
58429.5597757 smg -1766.40955079 3164.38343619 26.0862213193 ab
58430.5597757 smg 8845.23320951 3041.49477821 26.6196122736 ab
58432.5597757 smg 2872.36105177 2651.07355718 27.6046979514 ab
58433.5597757 smg 6717.05917474 675.326103667 27.509741087 ab
58435.5597757 smg 9852.4232183 571.015642752 28.0116046132 ab
58436.5597757 smg 2814.87232779 925.566168909 26.591321837 ab
58438.5597757 smg 4986.64990602 1005.24545159 27.2162173359 ab
58439.5597757 smg 3067.6885349 3759.95875844 27.1239877987 ab
58441.5597757 smg 4063.82783462 70.3766930539 27.1434043766 ab
58442.5597757 smg 7433.5648554 957.159034271 27.8198169906 ab
58443.5597757 smg 2197.838324 869.987210786 26.7019909017 ab
58445.5597757 smg 2026.9608772 790.013645566 26.2145028056 ab
58446.5597757 smg 2791.43662089 1106.07998134 26.4421840466 ab
58447.5597757 smg 2743.85868454 2430.35940734 27.5705926124 ab
58448.5597757 smg 1933.81095936 2487.38670374 27.1456207224 ab
58450.5597757 smg 1268.38495535 515.894902407 26.3677910318 ab
58451.5597757 smg 2216.47411957 2750.09990528 26.6603016203 ab
58453.5597757 smg 5319.11215438 382.1964623 27.7884928692 ab
58455.5597757 smg 4100.91394993 2557.13864628 27.4080600213 ab
58456.5597757 smg 757.439832158 441.342844293 25.4363129867 ab
58457.5597757 smg 7432.93570891 2626.67839225 28.0848541695 ab
58458.5597757 smg 2114.13228054 557.370430509 27.3834156716 ab
58460.5597757 smg 1273.25232128 593.739400978 27.0300070459 ab
58462.5597757 smg -215.600870756 1639.05706233 26.3989217747 ab
58464.5597757 smg 710.285846304 39.2254447786 26.522199948 ab
58465.5597757 smg 4428.41112181 3544.05275025 26.2260139901 ab
58466.5597757 smg 557.412478302 3006.70647277 26.1694837477 ab
58467.5597757 smg 3463.16758629 1189.19720987 27.2920643946 ab
58468.5597757 smg 3399.57883311 362.743902238 28.43034408 ab
58470.5597757 smg 655.375692299 4249.08875361 26.6517272752 ab
58471.5597757 smg -4018.3184329 2573.92494943 26.6071584123 ab
58472.5597757 smg -857.033032297 1162.22359495 26.6923998401 ab
58473.5597757 smg 1366.91410255 537.20622841 27.7757413933 ab
58475.5597757 smg 226.331913971 121.002787673 26.4498958231 ab
58476.5597757 smg 1311.30207305 1331.09586491 26.5409544426 ab
58478.5597757 smg 809.244276917 2684.08976093 26.7075336271 ab
58480.5597757 smg 931.365491209 241.398733181 27.6078125458 ab
58481.5597757 smg 1775.62573152 1619.54710332 25.9943304837 ab
58429.5599146 smr 8797.89803893 3164.26635178 25.6274066803 ab
58430.5599146 smr -1192.50889925 3041.15495699 25.3297141698 ab
58432.5599146 smr -2742.04662863 2649.93139654 25.3400285162 ab
58433.5599146 smr 245.335679635 671.294286463 25.3141620742 ab
58435.5599146 smr 989.846391598 563.262836949 25.4734679875 ab
58436.5599146 smr 2488.98299634 924.67020699 25.5162253575 ab
58438.5599146 smr 1902.92964321 1003.39640162 25.38434946 ab
58439.5599146 smr 864.751914144 3759.57271698 25.813422891 ab
58441.5599146 smr 651.084543975 38.2426356305 25.0845188583 ab
58442.5599146 smr 837.17153825 953.501393414 25.0019046761 ab
58443.5599146 smr 664.657576548 868.761242246 24.9239018724 ab
58445.5599146 smr 1416.48406626 789.25910035 24.7311444266 ab
58446.5599146 smr -491.764230887 1105.5999191 25.5579462079 ab
58447.5599146 smr 3312.84547042 2429.39915025 24.9045842234 ab
58448.5599146 smr 1295.67765405 2486.82702619 25.068817801 ab
58450.5599146 smr -101.139723307 514.916594661 25.056800023 ab
58451.5599146 smr 6628.75889832 2749.87069645 25.3109893906 ab
58453.5599146 smr 517.792883295 376.69518858 24.7889248697 ab
58455.5599146 smr -3735.08237384 2556.66568027 24.9528702283 ab
58456.5599146 smr 195.887513688 441.412623947 25.306553341 ab
58457.5599146 smr 6129.78594152 2625.92022775 25.0324605872 ab
58458.5599146 smr -597.713699346 555.810467495 25.0266219601 ab
58460.5599146 smr -104.833397033 593.01047348 25.2686070907 ab
58462.5599146 smr 972.510314078 1638.97442009 25.0752822703 ab
58464.5599146 smr 493.773887579 36.2639716436 25.2170702217 ab
58465.5599146 smr 1559.15032426 3544.05063018 25.2594647517 ab
58466.5599146 smr -2313.07052262 3006.76229842 25.8041196714 ab
58467.5599146 smr -474.083694803 1188.83272967 24.7887623092 ab
58468.5599146 smr 122.472802825 358.935770751 24.9103237933 ab
58470.5599146 smr -605.915087919 4249.0780969 25.3407904362 ab
58471.5599146 smr 2546.30176453 2573.88628102 24.8795408757 ab
58472.5599146 smr 835.314310419 1162.11529792 24.7363956105 ab
58473.5599146 smr 1390.9309256 536.494584123 25.5612695229 ab
58475.5599146 smr 200.952290378 120.584822259 24.9514691482 ab
58476.5599146 smr -438.740708523 1331.06037597 25.118505452 ab
58478.5599146 smr 486.522264962 2684.05521385 24.9315736075 ab
58480.5599146 smr 321.021776934 240.005951134 24.6716263485 ab
58481.5599146 smr 2078.44307404 1619.55683981 25.2402925439 ab
58429.5600534 smi 1618.14326252 3164.32795659 26.5208126258 ab
58430.5600534 smi 6677.32442105 3041.22584402 26.428024446 ab
58432.5600534 smi 4318.26785496 2650.32132139 27.4973771957 ab
58433.5600534 smi 3012.14418828 671.790851135 26.7912706872 ab
58435.5600534 smi 1575.04176026 563.085547664 26.0249500021 ab
58436.5600534 smi 2067.01612111 925.200327712 27.1099221673 ab
58438.5600534 smi 1896.4496254 1003.52718727 26.4835977838 ab
58439.5600534 smi -653.915041799 3759.63144797 26.9340379174 ab
58441.5600534 smi 3464.9582351 65.8687495331 27.7158941108 ab
58442.5600534 smi 14898.8382277 960.719362903 29.2434410321 ab
58443.5600534 smi -15.425913981 868.626044519 24.9908670346 ab
58445.5600534 smi 1440.6291984 789.7797676 26.6633433092 ab
58446.5600534 smi 794.848833178 1105.75228632 26.7062084308 ab
