@c 0.046389084757
@x1 -1.82921934314
@x0 0.000172860413433
@z 0.139433833091
@t0 58379.6851692
time band flux fluxerr zp zpsys
58365.6851692 smg 60.2441084587 753.451227736 26.4083098114 ab
58370.6851692 smg -2327.78709027 1747.59675575 26.5177513777 ab
58375.6851692 smg 1865.0473728 1480.45827715 26.5904512024 ab
58380.6851692 smg -147.446395071 1055.05137389 26.8536792149 ab
58384.6851692 smg 2158.83039003 2026.32877565 27.5741254896 ab
58388.6851692 smg -1904.51856165 8205.61776933 27.67391312 ab
58392.6851692 smg 2341.02981025 1720.48011799 27.7862162525 ab
58397.6851692 smg 35.3599288165 51.27770608 26.2867616739 ab
58402.6851692 smg -244.108235282 1851.62331768 27.5544645936 ab
58406.6851692 smg 174.338255369 32.004377849 27.8178484459 ab
58411.6851692 smg 260.061282171 843.036179227 25.7931687862 ab
58416.6851692 smg 355.784041619 784.373863197 27.230417474 ab
58421.6851692 smg 921.328693478 1045.46917153 26.8126804084 ab
58365.6853081 smr 820.947375501 753.439004657 25.2367418922 ab
58370.6853081 smr 975.050431235 1747.57019699 25.9197613134 ab
58375.6853081 smr -118.046333476 1480.34783017 25.1683088472 ab
58380.6853081 smr -198.46880235 1054.81273259 24.9667523853 ab
58384.6853081 smr -1465.05719092 2026.11682459 25.3369493953 ab
58388.6853081 smr -16161.1603231 8205.57614362 25.3746822492 ab
58392.6853081 smr -2087.12341166 1720.33791225 25.4864519617 ab
58397.6853081 smr 97.0367899231 51.0590501165 25.1248163526 ab
58402.6853081 smr -1559.08734544 1851.60163466 25.7015203194 ab
58406.6853081 smr 11.943533498 30.3939634661 25.5300122516 ab
58411.6853081 smr -191.141904838 843.044853993 25.2678831101 ab
58416.6853081 smr 1008.10680259 784.349771098 24.8698628216 ab
58421.6853081 smr 288.431480428 1045.46281425 25.3032246591 ab
58365.685447 smi 918.67577988 753.456700339 25.9300132887 ab
58370.685447 smi 548.325163011 1747.59946713 26.3944582709 ab
58375.685447 smi 966.473050267 1480.8290641 27.985215617 ab
58380.685447 smi 298.727429167 1055.07740353 27.0469100047 ab
58384.685447 smi -1576.59084524 2026.24151657 27.1211626825 ab
58388.685447 smi -2812.1043431 8205.60228559 27.2164226162 ab
58392.685447 smi 938.301431888 1720.36570181 26.4027209616 ab
58397.685447 smi 828.01445916 57.1350042616 27.7778544102 ab
58402.685447 smi 1279.19923819 1851.63710707 26.5275013607 ab
58406.685447 smi 136.072187701 31.9902601181 26.2404799114 ab
58411.685447 smi 796.639845375 843.37733018 28.0957634362 ab
58416.685447 smi -24.2898646471 784.367074672 25.6286155047 ab
58421.685447 smi 1148.15527437 1045.46514687 25.3177486908 ab
