@c 0.224714382579
@x1 4.54260867935
@x0 0.00152106546248
@z 0.0500421551133
@t0 58627.3126633
time band flux fluxerr zp zpsys
58612.3126633 smg 1866.48613558 57.3456413512 26.8849918576 ab
58617.3126633 smg 3831.38833832 913.813306856 26.1261433853 ab
58621.3126633 smg 12502.8587507 951.632050323 27.6014013959 ab
58626.3126633 smg 10069.1635034 1668.99990718 27.6403148181 ab
58630.3126633 smg 9325.63069375 898.862876487 27.2932844528 ab
58634.3126633 smg 9526.31386632 201.453649843 27.4381976125 ab
58639.3126633 smg 2155.55507193 1204.10400406 26.0394479604 ab
58644.3126633 smg 1130.29267212 69.9860951586 25.605825169 ab
58649.3126633 smg 5868.98572139 843.985193965 27.8614574638 ab
58654.3126633 smg 401.408490378 278.879289299 25.9224112349 ab
58658.3126633 smg 1260.5295183 360.280652362 26.6832636666 ab
58662.3126633 smg -179.50309623 739.023827874 26.350288642 ab
58612.3128022 smr 547.038489757 44.3566096812 25.5671594645 ab
58617.3128022 smr 2937.29102919 913.200582378 25.4927237112 ab
58621.3128022 smr 3406.62153165 946.792962912 25.9200464516 ab
58626.3128022 smr 578.694196501 1665.92806173 25.2877725207 ab
58630.3128022 smr 531.916290636 894.791466587 24.7988371166 ab
58634.3128022 smr 1354.47086037 181.432416663 25.1949910032 ab
58639.3128022 smr 1411.42043945 1203.82766003 25.5119265574 ab
58644.3128022 smr 1273.88443347 71.0474480159 25.6586511214 ab
58649.3128022 smr 3095.12342728 840.584698587 25.0916094472 ab
58654.3128022 smr 1627.94999718 280.392567217 25.8524740151 ab
58658.3128022 smr 594.654313974 359.504542035 25.0400341325 ab
58662.3128022 smr 672.345604129 739.074109931 25.2608676375 ab
58612.3129411 smi 879.570248076 47.1957215937 26.2078965209 ab
58617.3129411 smi 2627.7790793 913.736656812 26.215791767 ab
58621.3129411 smi 3553.30233722 947.20832611 26.5894882111 ab
58626.3129411 smi 4092.69096059 1666.0599514 26.2723185924 ab
58630.3129411 smi 3796.29194771 896.380515228 27.1207828716 ab
58634.3129411 smi 2940.11339092 185.287402643 26.7251357321 ab
58639.3129411 smi 2173.92233603 1204.01013793 26.5506266822 ab
58644.3129411 smi 2585.24856749 79.182553007 27.5391810411 ab
58649.3129411 smi -68.7605115012 840.847762093 26.7617380845 ab
58654.3129411 smi 1386.85193616 280.057249636 26.3078497945 ab
58658.3129411 smi 4450.23198294 364.128381389 27.1152485767 ab
58662.3129411 smi 6041.00722681 741.646614048 27.2215910991 ab
