@c 0.366737066577
@x1 3.45507952331
@x0 0.00474380712359
@z 0.0287788635735
@t0 57795.7078587
time band flux fluxerr zp zpsys
57784.7078587 smg 27562.4656177 503.914299643 27.761388151 ab
57789.7078587 smg 13050.8865604 489.060867749 26.5431174124 ab
57794.7078587 smg 21443.2218523 497.115927633 27.0165941391 ab
57799.7078587 smg 13949.9196297 489.473568523 26.592595081 ab
57804.7078587 smg 14375.2691112 488.993538469 26.6760610962 ab
57809.7078587 smg 16769.4486637 492.966272612 27.2238210252 ab
57814.7078587 smg 7500.79714304 482.994703218 26.6142776043 ab
57819.7078587 smg 2930.79768957 478.688970117 26.1057491669 ab
57784.7079976 smr 14200.4945918 362.010296645 26.861655718 ab
57789.7079976 smr 7912.20156365 353.295157263 25.847741708 ab
57794.7079976 smr 15205.0820678 363.245522382 26.4374729114 ab
57799.7079976 smr 8571.00990677 353.444076544 25.7299019134 ab
57804.7079976 smr 3334.75184396 346.419331867 24.8597827413 ab
57809.7079976 smr 12083.4720815 359.128488575 26.6545597742 ab
57814.7079976 smr 8503.02556861 353.316984944 26.3571922644 ab
57819.7079976 smr 4328.91979015 347.834815693 25.6322548371 ab
57784.7081364 smi 9969.05701341 250.228443054 26.5105006725 ab
57789.7081364 smi 17364.8069217 266.019973205 26.9711541596 ab
57794.7081364 smi 9522.35589471 250.464757739 26.4336515549 ab
57799.7081364 smi 19003.5318137 268.548284625 27.3424504023 ab
57804.7081364 smi 6558.0409218 243.78456187 26.2907998099 ab
57809.7081364 smi 10854.1524116 252.631045016 27.3163215939 ab
57814.7081364 smi 6824.58910006 245.586505418 27.1269168563 ab
57819.7081364 smi 1916.42298698 234.178761248 25.4374906247 ab
57784.7082753 smv 802.045403592 156.386309094 24.5224074757 ab
57789.7082753 smv 5496.94022937 170.21959861 26.0567268113 ab
