@c -0.0338763868358
@x1 -5.11134572146
@x0 0.000589036993183
@z 0.0787788348139
@t0 57766.1553029
time band flux fluxerr zp zpsys
57753.1553029 smg -453.024665225 34.9479400161 27.1968171424 ab
57755.1553029 smg -566.164430791 36.7886290598 28.432270104 ab
57756.1553029 smg 22.4631423857 26.4624388379 25.8795974776 ab
57758.1553029 smg 735.853828762 38.7714102823 27.0555978946 ab
57759.1553029 smg 1816.33065336 51.3511518136 27.6192630838 ab
57760.1553029 smg 1531.42306291 47.6501992879 27.1291406149 ab
57762.1553029 smg 2202.35913445 53.9945739617 27.1530239304 ab
57763.1553029 smg 1136.09383735 42.3539146929 26.300103542 ab
57764.1553029 smg 1498.11781159 46.7300210839 26.5441329106 ab
57765.1553029 smg 4387.92442514 72.5983865708 27.7110765054 ab
57766.1553029 smg 1438.0768695 46.1605882432 26.456574474 ab
57768.1553029 smg 2504.2072842 55.766305886 27.0551316124 ab
57769.1553029 smg 2265.88058645 54.7470308894 27.0547598607 ab
57771.1553029 smg 1095.34875898 41.9648578889 26.3958519282 ab
57772.1553029 smg 3519.87605952 66.7868794659 27.847121564 ab
57773.1553029 smg 1334.73718774 46.0988227878 26.9161693344 ab
57774.1553029 smg 586.00142566 36.2002278546 26.1812830036 ab
57775.1553029 smg 887.448382751 40.0940444682 26.732055954 ab
57776.1553029 smg 777.349568214 38.9673341085 26.7896218644 ab
57778.1553029 smg 862.700117668 39.5362430494 27.1913216892 ab
57780.1553029 smg 378.759499187 33.0321080285 26.7384727456 ab
57753.1554418 smr -4.50719838355 25.0524468069 24.6661905165 ab
57755.1554418 smr 18.2750096326 25.1644767721 24.9102521494 ab
57756.1554418 smr 31.8097579733 26.5189810148 25.3258518802 ab
57758.1554418 smr 219.515419742 28.9998763407 25.4269389333 ab
57759.1554418 smr 286.126282904 31.0026999 25.6129613128 ab
57760.1554418 smr 332.663629131 32.0999627831 25.6160382848 ab
57762.1554418 smr 206.841532111 28.1317786611 24.5728206791 ab
57763.1554418 smr 620.593123852 36.3195789594 25.8270344408 ab
57764.1554418 smr 473.651172581 32.9316739756 25.3318882171 ab
57765.1554418 smr 426.843176478 31.7772943527 25.1104413584 ab
57766.1554418 smr 496.179130265 34.3499958152 25.4456521788 ab
57768.1554418 smr 356.047313557 31.3490445545 24.998038051 ab
57769.1554418 smr 361.22564099 31.6800024319 25.0641089532 ab
57771.1554418 smr 364.730356432 31.0326270867 25.0183845292 ab
57772.1554418 smr 388.894410044 31.9520762947 25.2215593719 ab
57773.1554418 smr 431.284230041 32.5630908706 25.3834046765 ab
57774.1554418 smr 199.735171437 29.2977024385 24.8812904191 ab
57775.1554418 smr 351.117651287 31.7540051841 25.4419951079 ab
57776.1554418 smr 249.794452801 29.6458390716 25.1382757848 ab
57778.1554418 smr 171.317850655 28.523613804 24.9993513989 ab
57780.1554418 smr 161.55896246 28.1344910664 24.9345542324 ab
57753.1555807 smi -31.9917541881 27.1480233134 26.6591079654 ab
57755.1555807 smi 73.0635719689 28.1241945516 26.0893428203 ab
57756.1555807 smi 421.581074951 34.0646042937 26.9288525071 ab
57758.1555807 smi 1125.75679822 42.7781885401 27.1062948004 ab
57759.1555807 smi 947.452418211 40.699255119 26.7068596729 ab
57760.1555807 smi 1191.53112896 43.5337994508 26.7821491152 ab
57762.1555807 smi 2505.16392365 57.580748142 27.4319464461 ab
57763.1555807 smi 2064.90085339 52.9771918028 27.1523002031 ab
57764.1555807 smi 525.116373375 35.4587893648 25.7727680177 ab
57765.1555807 smi 1563.58090585 48.0079394195 26.8424664223 ab
57766.1555807 smi 3422.62093081 64.9098172685 27.715908412 ab
57768.1555807 smi 1431.22013346 45.5953120612 26.7881646611 ab
57769.1555807 smi 3193.55902224 63.3548847594 27.7678320502 ab
57771.1555807 smi 1493.00543312 46.0034086725 26.9324004215 ab
57772.1555807 smi 504.901343908 34.2619899656 25.9012636481 ab
57773.1555807 smi 3108.79529149 61.860884281 27.958256161 ab
57774.1555807 smi 588.303339651 36.2172589804 26.3633345775 ab
57775.1555807 smi 3000.27015151 61.0820783308 28.2230506138 ab
57776.1555807 smi 414.762933107 32.7621315545 26.1730986529 ab
57778.1555807 smi 1306.47911012 45.4035591608 27.5883074788 ab
57780.1555807 smi 271.749407379 30.1107567592 25.630927755 ab
