@c 0.276608888585
@x1 5.19112873212
@x0 0.000269813604917
@z 0.113597879889
@t0 58360.0979148
time band flux fluxerr zp zpsys
58352.0979148 smg -936.968191574 1288.43184204 26.500123572 ab
58354.0979148 smg 1058.88398624 1683.25532801 26.591707089 ab
58356.0979148 smg 2051.37788458 834.536247016 26.5920326896 ab
58357.0979148 smg -188.407471052 1964.35238379 25.7816282698 ab
58359.0979148 smg -2038.11829262 1865.03364752 25.7708245308 ab
58360.0979148 smg 349.973952825 1366.71348178 25.885478153 ab
58361.0979148 smg 27.3073742192 167.187387669 24.8341131461 ab
58363.0979148 smg 617.655600738 429.579960217 26.7214465221 ab
58364.0979148 smg 829.965533251 75.7125041978 26.7380533621 ab
58365.0979148 smg 3685.28472917 1253.60189957 26.1291481805 ab
58367.0979148 smg 1059.06905782 369.527918496 26.5506527535 ab
58369.0979148 smg 2270.64323959 2004.98847213 27.2113375981 ab
58371.0979148 smg 2553.39822665 216.982694047 27.9710612899 ab
58373.0979148 smg 7761.54761481 3400.13862773 26.9441191959 ab
58374.0979148 smg 3561.54620559 3049.51316173 27.4099199699 ab
58376.0979148 smg 1355.66491912 83.0327559673 27.5030427952 ab
58377.0979148 smg 735.962568357 936.310179237 25.9060636896 ab
58378.0979148 smg 4403.07912787 2663.84733307 27.4834051404 ab
58379.0979148 smg 624.095056481 529.339951115 26.7387714443 ab
58381.0979148 smg 919.158265792 1030.30426031 26.4940958899 ab
58382.0979148 smg 535.239915225 378.638787105 26.5910038144 ab
58384.0979148 smg -685.804957142 3244.18922119 25.6850395271 ab
58385.0979148 smg 382.004799503 343.607329678 27.5856352652 ab
58387.0979148 smg 1003.37622019 1626.91828042 25.91457667 ab
58389.0979148 smg -534.902400915 763.769553131 27.8342073559 ab
58390.0979148 smg 760.135645017 989.861077077 28.105770287 ab
58392.0979148 smg -8532.23756628 4981.53743954 27.3429245134 ab
58393.0979148 smg 291.207176036 314.690867884 26.1647617491 ab
58394.0979148 smg 14.5961389014 248.214387615 26.1255588173 ab
58395.0979148 smg 2632.37868173 2026.93856721 27.6823005799 ab
58396.0979148 smg 785.085930402 3189.30864028 27.4567047723 ab
58398.0979148 smg -662.519484787 2511.08690941 27.2686742422 ab
58399.0979148 smg 1284.56555344 2128.85777065 27.0484379583 ab
58401.0979148 smg -152.212572997 389.842051588 26.7259097849 ab
58403.0979148 smg -998.598779314 1229.94108865 26.1193548405 ab
58405.0979148 smg 1484.56441366 705.729910611 26.4663500573 ab
58352.0980537 smr 1569.96168716 1288.33398325 25.9263425042 ab
58354.0980537 smr -240.082729409 1683.09168912 25.316857437 ab
58356.0980537 smr -274.837042977 834.203880272 25.2310247858 ab
58357.0980537 smr 508.037389852 1964.35369311 25.5685649049 ab
58359.0980537 smr 3581.35024801 1864.98453342 24.7960044233 ab
58360.0980537 smr -813.375500577 1366.71501643 25.6339047201 ab
58361.0980537 smr 484.28526879 167.610793942 25.2687418922 ab
58363.0980537 smr 498.335191229 429.060607503 25.665191039 ab
58364.0980537 smr 165.942918024 71.0353007437 24.8087850947 ab
58365.0980537 smr -1316.93002109 1253.52182243 25.2845727954 ab
58367.0980537 smr 399.325163537 368.783397834 24.6979968421 ab
58369.0980537 smr 80.2885768802 2004.7844537 25.8147938584 ab
58371.0980537 smr 234.210628685 211.710189926 25.0525496678 ab
58373.0980537 smr 3919.26985231 3400.04728925 25.3450703779 ab
58374.0980537 smr -1847.7414185 3049.31505549 24.2357206322 ab
58376.0980537 smr 115.237194809 76.2044286677 25.0491866351 ab
58377.0980537 smr -980.386546571 936.225604859 24.6596796812 ab
58378.0980537 smr 230.446048523 2663.67617793 25.2501199931 ab
58379.0980537 smr -918.344007037 529.154378361 25.8624775875 ab
58381.0980537 smr 1186.29806809 1030.20810574 25.1834607084 ab
58382.0980537 smr 288.973291672 378.387127878 25.2724847455 ab
58384.0980537 smr 652.995572235 3244.18328163 24.6080685661 ab
58385.0980537 smr -123.374767861 342.694757677 24.5582836611 ab
58387.0980537 smr 1810.01718924 1626.92635125 25.1648426802 ab
58389.0980537 smr 165.051504624 763.349369904 24.3773377003 ab
58390.0980537 smr -212.922138165 989.48197045 24.9322280283 ab
58392.0980537 smr 5958.7732274 4981.5159791 25.2904440056 ab
58393.0980537 smr 221.567801424 314.860053302 25.6189202123 ab
58394.0980537 smr -200.879705282 248.287806942 25.1653730676 ab
58395.0980537 smr -656.883122524 2026.86749687 25.1185083825 ab
58396.0980537 smr -618.502716306 3189.28014939 25.1713382183 ab
58398.0980537 smr -1273.12990117 2511.06812135 25.286087435 ab
58399.0980537 smr 1099.94662413 2128.87119054 25.9282326763 ab
58401.0980537 smr 47.7218783111 389.802887972 24.992161258 ab
58403.0980537 smr 1583.16575614 1229.96600874 25.5112240263 ab
58405.0980537 smr 393.697229871 705.710586309 24.764102334 ab
58352.0981926 smi -1025.47742937 1288.25430607 25.6733544685 ab
58354.0981926 smi 2725.72559289 1683.18753549 26.5076084607 ab
58356.0981926 smi 372.538736962 834.391307014 26.6092964793 ab
58357.0981926 smi -348.524589681 1964.43414485 26.8681681678 ab
58359.0981926 smi 612.906023758 1865.06503415 26.4870761598 ab
58360.0981926 smi 2200.44841725 1366.79232869 26.6851586144 ab
58361.0981926 smi 1410.32676307 171.749921742 27.6931574798 ab
58363.0981926 smi 982.692384619 429.112183555 26.2032330293 ab
58364.0981926 smi 1209.08181355 78.0561251787 27.2332321798 ab
58365.0981926 smi 769.324733149 1253.78218569 26.9315381569 ab
