@c -0.110973415053
@x1 -2.30816861278
@x0 0.00809705024037
@z 0.0221358883728
@t0 58485.3213276
time band flux fluxerr zp zpsys
58474.3213276 smg 5460.9479637 690.112910355 27.0700716741 ab
58475.3213276 smg 13242.7524905 949.729139534 27.5915577315 ab
58477.3213276 smg 10494.6724754 485.02553035 26.7326155494 ab
58479.3213276 smg 8293.93437685 2304.55586543 25.2813429618 ab
58480.3213276 smg 16873.7455093 135.991919681 26.6965704984 ab
58481.3213276 smg 5591.2842258 1434.13455392 25.5492649065 ab
58482.3213276 smg 50047.2978493 2832.709561 27.6815013758 ab
58484.3213276 smg 45355.3545671 284.543626918 27.4743666831 ab
58486.3213276 smg 30192.964995 641.687124365 27.040414041 ab
58487.3213276 smg 10009.4249925 903.619199128 25.8207828681 ab
58488.3213276 smg 22787.8530565 163.661345856 26.7727559651 ab
58490.3213276 smg 26351.2659864 6362.18689791 26.735231595 ab
58491.3213276 smg 7469.69397516 307.018427259 25.7003357688 ab
58492.3213276 smg 4231.87931303 812.345666886 25.3609113863 ab
58493.3213276 smg 29397.450541 1028.01201002 27.4284499374 ab
58495.3213276 smg 15662.9497804 1111.0957364 26.9324528015 ab
58497.3213276 smg 22853.5868508 1682.32978744 27.6431467247 ab
58498.3213276 smg 35874.6160959 1258.03929447 28.0741317991 ab
58500.3213276 smg 3346.5358677 665.875579158 25.5547050491 ab
58502.3213276 smg 10064.587248 403.173144613 27.2159020449 ab
58504.3213276 smg 33341.5813065 2428.04646797 28.5765778028 ab
58506.3213276 smg 5912.5226658 249.856503394 27.0495197091 ab
58508.3213276 smg 3850.21517644 1819.30179649 27.0843498132 ab
58510.3213276 smg 2346.50081783 1372.49501699 25.7933091104 ab
58512.3213276 smg 1286.12427975 6144.81980251 27.3165182396 ab
58514.3213276 smg 4826.88589129 298.845755777 27.613172043 ab
58516.3213276 smg 3629.98998813 547.660008355 27.0845933539 ab
58517.3213276 smg 3443.93657869 3145.04878976 26.6596403531 ab
58519.3213276 smg 4157.82565132 1265.59219612 27.2075082515 ab
58520.3213276 smg 1067.09375218 147.808600124 26.1159510201 ab
58521.3213276 smg -863.44463545 2258.50146732 27.6231743797 ab
58523.3213276 smg 3821.60480959 3103.80999052 25.2234080736 ab
58524.3213276 smg 1686.58456251 2501.59892448 26.2229214751 ab
58526.3213276 smg 1982.17888587 1945.21261624 25.9255230133 ab
58527.3213276 smg 3157.96110782 4509.30078382 25.8794944078 ab
58529.3213276 smg 5000.73945479 2718.10711082 26.8892147869 ab
58530.3213276 smg 2145.74996798 425.311297668 26.8990212479 ab
58532.3213276 smg -827.161227838 2366.37591371 27.0033105161 ab
58534.3213276 smg 2076.32262279 304.10337842 27.3660725867 ab
58535.3213276 smg 1165.78848649 606.44717511 26.9150326075 ab
58536.3213276 smg 1637.71778729 429.35682109 26.6712440999 ab
58537.3213276 smg -2883.17224194 6354.68896811 28.139213773 ab
58474.3214665 smr 1109.13675678 687.486804534 25.4805825943 ab
58475.3214665 smr 678.442570966 944.025655762 25.1473223388 ab
58477.3214665 smr 3148.43248734 477.410566021 25.4815960806 ab
58479.3214665 smr 1227.99963706 2304.15576103 24.7336079636 ab
58480.3214665 smr 2577.81286776 62.3265058825 24.7664302361 ab
58481.3214665 smr -397.013800926 1432.48776298 24.3506876803 ab
58482.3214665 smr 6584.37459938 2824.07013594 24.3940566627 ab
58484.3214665 smr 3891.24754063 197.297606141 24.9605399094 ab
58486.3214665 smr 5792.33015244 621.365327353 25.2621119488 ab
58487.3214665 smr 3946.25600671 900.509559366 25.0600684304 ab
58488.3214665 smr 3675.80982712 87.4562070524 24.9272197711 ab
58490.3214665 smr 8086.59074154 6360.82842653 24.6501014796 ab
58491.3214665 smr 3851.64687437 301.690967192 25.1499245891 ab
58492.3214665 smr 11109.8464579 816.274689655 26.3624205331 ab
58493.3214665 smr 3194.51371215 1015.40313697 25.4717066741 ab
58495.3214665 smr 3600.26677795 1105.66889196 25.5157231842 ab
58497.3214665 smr 225.435513665 1675.20559747 24.6227706228 ab
58498.3214665 smr 3609.93759485 1245.00955413 24.7679108486 ab
