@c -0.570191726836
@x1 1.76251220034
@x0 0.00196582257591
@z 0.0442052748224
@t0 58528.9696899
time band flux fluxerr zp zpsys
58519.9696899 smg 2031.04938115 644.449150119 26.4675263311 ab
58521.9696899 smg 16532.5320443 1324.71113586 28.1340170929 ab
58523.9696899 smg 3893.63178036 835.405866268 26.5166943041 ab
58525.9696899 smg -1435.31915166 1782.16171433 25.824671868 ab
58526.9696899 smg 4111.88146957 524.387392814 26.2762934379 ab
58528.9696899 smg 7714.50973914 963.615154759 27.0605119936 ab
58529.9696899 smg 2583.11583448 7475.50481359 25.3958146897 ab
58531.9696899 smg 22153.8729083 196.835353374 28.354365152 ab
58533.9696899 smg 4257.2462095 2070.33059769 26.4687802442 ab
58535.9696899 smg 6634.85965302 2019.58890265 27.2673361321 ab
58536.9696899 smg 16926.4169065 569.100603221 28.2524753194 ab
58538.9696899 smg 4394.19924912 1163.56098344 26.6769853511 ab
58540.9696899 smg 8759.64800197 884.245120372 27.759467507 ab
58541.9696899 smg 4020.37739225 2455.99177284 27.0483806831 ab
58542.9696899 smg 2589.27112089 1388.70201953 26.9232210306 ab
58543.9696899 smg 161.536241216 7158.74602581 26.9326170171 ab
58519.9698288 smr 110.855139628 642.477797803 25.049602644 ab
58521.9698288 smr 325.763249553 1318.79713133 25.4743089492 ab
58523.9698288 smr -334.119691718 833.366832855 25.4053605347 ab
58525.9698288 smr -296.562522167 1781.68286222 25.1100294358 ab
58526.9698288 smr 1563.09922516 522.047249164 25.7409607887 ab
58528.9698288 smr 1212.96450152 960.282327893 25.404711861 ab
58529.9698288 smr -1978.83777094 7475.42922043 24.6855989487 ab
58531.9698288 smr 608.777634829 128.850256665 24.9891485681 ab
58533.9698288 smr -1814.51609033 2069.66577442 25.7185131452 ab
58535.9698288 smr -1436.56960955 2017.93510766 25.3230629775 ab
58536.9698288 smr 1602.5417887 554.33097194 25.6728643123 ab
58538.9698288 smr 635.99345152 1162.31177454 25.6782654645 ab
58540.9698288 smr -716.890698047 879.470375763 25.3816715565 ab
58541.9698288 smr -1550.6880909 2455.18396867 25.0239362312 ab
58542.9698288 smr 585.278936753 1387.55449007 25.1540140055 ab
58543.9698288 smr 6080.28715047 7158.53467248 24.9896512533 ab
58519.9699677 smi 65.3327632969 642.744198003 26.3137065337 ab
58521.9699677 smi -1393.09303163 1319.13127469 27.0229678823 ab
58523.9699677 smi 900.042474745 833.455776593 26.3284387385 ab
58525.9699677 smi 1890.44009765 1781.94407341 26.9788182406 ab
58526.9699677 smi 822.05574375 521.73003491 26.1920625544 ab
58528.9699677 smi 710.023907776 960.417703297 26.6715098933 ab
58529.9699677 smi -3220.57919894 7475.45432898 26.384037775 ab
58531.9699677 smi 2932.09909318 138.030256828 27.8718206415 ab
58533.9699677 smi 1260.0462327 2069.58991933 26.3419640478 ab
58535.9699677 smi -1087.94257235 2018.07229794 26.9984523071 ab
58536.9699677 smi -431.25348133 553.986697795 26.1048414028 ab
58538.9699677 smi 1978.2041813 1162.31083106 26.7341594698 ab
58540.9699677 smi -37.8228194349 879.285765318 25.5368450363 ab
58541.9699677 smi 5803.82375443 2455.27038393 26.9403733302 ab
58542.9699677 smi 834.772163301 1387.50872669 25.8650200278 ab
58543.9699677 smi 1195.25152053 7158.56506979 27.0309669745 ab
