@c 0.152259267804
@x1 -1.43931532578
@x0 0.0480863053335
@z 0.00917114554144
@t0 57817.5856269
time band flux fluxerr zp zpsys
57807.5856269 smg 105753.285076 326.191653782 27.6488321717 ab
57808.5856269 smg 14567.4543165 122.909806606 25.195575456 ab
57810.5856269 smg 85475.9158443 293.371428054 26.6541673794 ab
57812.5856269 smg 53542.3940891 232.805271518 25.8656273874 ab
57814.5856269 smg 225171.509992 474.8071805 27.2544458006 ab
57816.5856269 smg 146712.936384 384.40611564 26.7127076195 ab
57817.5856269 smg 117550.148493 344.436016204 26.4633986403 ab
57819.5856269 smg 385989.460708 621.125174472 27.7713511461 ab
57821.5856269 smg 29803.9796579 173.936783124 25.0562158965 ab
57823.5856269 smg 83491.4649853 289.939095079 26.2863818762 ab
57824.5856269 smg 249579.833404 499.497851913 27.5398733778 ab
57826.5856269 smg 365289.617418 604.747306526 28.1157337549 ab
57827.5856269 smg 78578.1281201 281.13898071 26.5291733508 ab
57828.5856269 smg 120748.26013 348.136523192 27.0825373717 ab
57829.5856269 smg 25066.9718324 160.59281111 25.4703213441 ab
57830.5856269 smg 96586.1268757 311.947202176 27.0240738282 ab
57831.5856269 smg 39764.1300157 200.674856299 26.150179363 ab
57832.5856269 smg 78887.532374 281.814379541 26.9916921798 ab
57833.5856269 smg 180664.115568 425.531190877 27.9874993171 ab
57835.5856269 smg 46834.3001485 217.335561379 26.702504813 ab
57836.5856269 smg 15373.5564124 126.930486999 25.5963833755 ab
57837.5856269 smg 7778.74524616 92.0331912881 24.946325879 ab
57839.5856269 smg 86969.5826903 295.882137912 27.7093021169 ab
57840.5856269 smg 21275.1958295 148.019337953 26.2604620246 ab
57842.5856269 smg 8957.3973465 97.9823787127 25.4978643247 ab
57807.5857657 smr 20999.4150749 146.471518978 25.6639792317 ab
57808.5857657 smr 19498.6638293 141.770948473 25.3198273786 ab
57810.5857657 smr 18013.7044789 137.292527803 24.8193535715 ab
57812.5857657 smr 63350.5063203 253.257677957 25.9316693878 ab
57814.5857657 smr 66307.4009474 258.800316776 25.8565677857 ab
57816.5857657 smr 34691.0861789 187.921615191 25.0855221377 ab
57817.5857657 smr 45713.9510241 214.693512777 25.3622551353 ab
57819.5857657 smr 24250.7671063 158.172965891 24.6889946012 ab
57821.5857657 smr 45783.4097393 214.582119573 25.4094986386 ab
57823.5857657 smr 19995.2375352 143.85470077 24.6239121951 ab
57824.5857657 smr 24210.0962778 157.266806074 24.8951314704 ab
57826.5857657 smr 21636.7261878 149.949181505 24.9739421517 ab
57827.5857657 smr 28025.8820335 169.508181104 25.3295008985 ab
57828.5857657 smr 25516.1425448 161.875355153 25.297013403 ab
57829.5857657 smr 14197.9595204 121.203083853 24.7034811555 ab
57830.5857657 smr 24428.5547338 158.219638022 25.3369301908 ab
57831.5857657 smr 18546.495303 138.688669488 25.0741376732 ab
57832.5857657 smr 21032.4102209 147.652401508 25.2426076328 ab
57833.5857657 smr 14677.3430625 123.493947922 24.8676001143 ab
57835.5857657 smr 19929.9666127 142.887183451 25.2373602292 ab
57836.5857657 smr 28588.9132397 171.06184563 25.6585225885 ab
57837.5857657 smr 12978.2360072 116.820898906 24.8257157576 ab
57839.5857657 smr 19536.5580079 141.952639591 25.3109938463 ab
