@c 0.180385593633
@x1 3.65645068829
@x0 0.00551287479682
@z 0.026736210599
@t0 58474.7693653
time band flux fluxerr zp zpsys
58471.7693653 smg 26635.7254033 381.185570389 27.1562024316 ab
58476.7693653 smg 83511.6580857 1703.13416487 28.4240396334 ab
58480.7693653 smg 10026.1819111 692.945127627 26.3698320328 ab
58484.7693653 smg 9998.57215618 519.158886753 26.2497807237 ab
58488.7693653 smg 12249.2127166 1842.7339057 26.8093902712 ab
58492.7693653 smg 14516.1038858 8601.27856328 26.1445060342 ab
58496.7693653 smg 2596.59618914 892.920271736 25.6070477572 ab
58500.7693653 smg 7611.78113669 1737.89437589 26.8068000536 ab
58504.7693653 smg 5363.19987218 1533.88316798 26.2080434709 ab
58509.7693653 smg 2957.78956025 1185.03771509 26.145550296 ab
58514.7693653 smg 7024.62186628 762.013925331 27.7142384282 ab
58518.7693653 smg 848.141154521 45.8465821373 25.6706949173 ab
58522.7693653 smg 233.917759808 1072.65196077 26.3050207081 ab
58527.7693653 smg 17.6413571988 4019.48007089 27.2613150914 ab
58531.7693653 smg -376.565553609 1100.30329749 26.1452643033 ab
58471.7695042 smr 5554.80056605 351.637601923 25.357600592 ab
58476.7695042 smr 619.759868143 1679.6705219 25.0310560703 ab
58480.7695042 smr 4748.47187317 687.842308494 25.2922036694 ab
58484.7695042 smr 5114.4940017 514.756853515 25.47760671 ab
58488.7695042 smr 4282.76988119 1839.94626154 25.0952884329 ab
58492.7695042 smr 15128.9635915 8601.08203779 25.088549004 ab
58496.7695042 smr 2334.59389908 893.12590634 25.4085659537 ab
58500.7695042 smr 5757.20136345 1736.72783876 25.0801262697 ab
58504.7695042 smr 2526.4944345 1533.76320299 25.1840978592 ab
58509.7695042 smr -356.970080072 1184.69221544 24.551494699 ab
58514.7695042 smr 2111.20392311 758.720005939 25.1318246622 ab
58518.7695042 smr 1171.66401335 49.7477523278 25.1117461931 ab
58522.7695042 smr 1751.85002377 1072.73363436 25.5912857425 ab
58527.7695042 smr 874.311436622 4019.48007089 25.1728307889 ab
58531.7695042 smr -495.484337363 1100.30329749 25.1786847692 ab
58471.7696431 smi 28347.4964887 382.953059834 27.7059827468 ab
58476.7696431 smi 16687.486982 1683.48264778 27.3890235378 ab
58480.7696431 smi 3899.47704626 687.573385994 25.9795328698 ab
58484.7696431 smi 12251.1438156 521.932403005 27.281058561 ab
58488.7696431 smi 13739.673619 1843.14428133 27.851715238 ab
58492.7696431 smi 22054.1150188 8601.26703433 27.0406295157 ab
58496.7696431 smi 406.557753266 892.317130851 25.7357296204 ab
58500.7696431 smi 5134.16823955 1738.38463766 27.0392305607 ab
58504.7696431 smi 13167.0979499 1536.83098982 27.1463616009 ab
58509.7696431 smi 7122.7347575 1187.11502912 26.5531765033 ab
58514.7696431 smi 3214.46927389 759.660553389 25.9399997163 ab
58518.7696431 smi 2021.72669222 56.6501107694 25.7361621164 ab
58522.7696431 smi 16782.70987 1079.68577064 28.1673410184 ab
58527.7696431 smi 1174.30236059 4019.48007089 28.4749337507 ab
58531.7696431 smi -436.462930294 1100.30329749 26.0876085616 ab
