@c 0.4235740934
@x1 -1.1235230496
@x0 0.0212534693139
@z 0.0137480556515
@t0 58560.2286302
time band flux fluxerr zp zpsys
58548.2286302 smg 16101.1055678 1022.74749057 26.8147330812 ab
58552.2286302 smg 166839.313167 1790.435371 28.2841579157 ab
58557.2286302 smg 50881.1588359 228.496437857 26.3913537718 ab
58561.2286302 smg 222342.130752 1090.95027617 27.9065415996 ab
58565.2286302 smg 120669.050222 387.649753402 27.3774011735 ab
58570.2286302 smg 53397.7774568 856.907711551 26.8547863052 ab
58575.2286302 smg 26436.1969914 543.973483949 26.4990408828 ab
58580.2286302 smg 10248.059129 1267.1987718 26.0111741848 ab
58585.2286302 smg 23403.2103319 2328.89385688 27.399758243 ab
58548.2287691 smr 3766.19354872 1017.8543525 25.0982871483 ab
58552.2287691 smr 9824.14234063 1745.86582368 24.7240905445 ab
58557.2287691 smr 29678.6739635 175.642130286 25.4582114142 ab
58561.2287691 smr 45638.6497523 1007.21076356 25.8478252038 ab
58565.2287691 smr 31269.9196071 245.757865374 25.522877309 ab
58570.2287691 smr 13671.7756155 832.499204406 24.9827504413 ab
58575.2287691 smr 18444.0880585 537.411919941 25.6080649384 ab
58580.2287691 smr 15577.3170808 1268.78290573 25.4629574105 ab
58585.2287691 smr 11164.8441145 2324.93586088 25.1760585929 ab
58548.228908 smi 10483.8175946 1019.66279407 25.8057943141 ab
58552.228908 smi 307709.32206 1829.51251225 28.6415225858 ab
58557.228908 smi 293988.861343 543.233306316 28.243624607 ab
58561.228908 smi 45117.1345825 1006.9556712 26.2776712869 ab
58565.228908 smi 72112.5899644 317.60137019 26.925191353 ab
58570.228908 smi 112761.773143 890.300662733 27.8115498235 ab
58575.228908 smi 60203.7027666 573.590468798 27.1929709666 ab
58580.228908 smi 31810.9372019 1274.91339064 26.3887902217 ab
58585.228908 smi 40248.7814865 2331.45098027 26.6820857033 ab
