@c 0.00449260361899
@x1 -1.76604469044
@x0 0.00241127204521
@z 0.0400350058992
@t0 58640.3682387
time band flux fluxerr zp zpsys
58636.3682387 smg 7333.69439894 625.923043563 26.9391382305 ab
58641.3682387 smg 6861.19679971 2886.1170136 26.5993301318 ab
58646.3682387 smg 776.827149951 248.3168085 24.9198045803 ab
58650.3682387 smg 4540.11298635 3909.2235512 27.3620406355 ab
58654.3682387 smg 1461.4963041 5792.99044899 27.5341288699 ab
58658.3682387 smg 337.566548251 1156.90719596 25.624883226 ab
58662.3682387 smg 4298.14262348 894.858893886 27.689274771 ab
58666.3682387 smg 416.01929049 2822.45690594 26.098425351 ab
58671.3682387 smg 2964.57221441 1934.27296597 26.3583118162 ab
58675.3682387 smg 432.085052866 1336.42318409 27.6612981847 ab
58680.3682387 smg -468.137987467 6585.75967922 27.4904303482 ab
58684.3682387 smg -2167.68383905 1981.72103627 26.278218556 ab
58688.3682387 smg 179.446547177 452.872070302 26.6828414226 ab
58636.3683776 smr 2710.75637779 621.284441117 25.5191206022 ab
58641.3683776 smr 4525.10641415 2885.2611271 25.0948594978 ab
58646.3683776 smr 964.690377297 247.856066313 24.6259769874 ab
58650.3683776 smr -3049.48251046 3908.47992382 25.8129921606 ab
58654.3683776 smr 5306.88258467 5792.51276945 24.9873656145 ab
58658.3683776 smr 2340.47799239 1156.82256899 24.6580035852 ab
58662.3683776 smr 1399.58816503 893.234265038 24.7669528732 ab
58666.3683776 smr 752.238875277 2822.46688384 25.1954845131 ab
58671.3683776 smr 1999.41454527 1934.2281134 24.9171159364 ab
58675.3683776 smr 497.49933808 1335.94054782 24.4583194729 ab
58680.3683776 smr 569.393714356 6585.69579235 25.215152649 ab
58684.3683776 smr 52.560940196 1981.6904951 25.0550086631 ab
58688.3683776 smr 237.367538863 452.614681447 25.1051187537 ab
58636.3685164 smi 16841.9504698 632.746297552 28.1587994637 ab
58641.3685164 smi 11093.6171901 2887.28019154 27.9379377604 ab
58646.3685164 smi 2016.30241933 251.30029569 26.3829089237 ab
58650.3685164 smi 8668.87683084 3908.4452986 26.3202441941 ab
58654.3685164 smi 990.362334846 5792.6403252 26.7000945075 ab
58658.3685164 smi 3854.51466979 1158.80381935 27.4968212822 ab
58662.3685164 smi 2000.39251118 893.959312813 26.2967215815 ab
58666.3685164 smi 158.69555775 2822.58253567 26.0275452713 ab
58671.3685164 smi 1298.69607254 1935.25335891 27.7255673981 ab
58675.3685164 smi -1693.70293851 1336.12999314 26.070878969 ab
58680.3685164 smi -5476.15577031 6585.80132572 27.3792296519 ab
58684.3685164 smi 108.102729522 1981.83873661 26.7607215972 ab
58688.3685164 smi 2254.852654 454.464970026 27.8753678794 ab
