@c -0.348896754096
@x1 2.7080160284
@x0 0.0131878721588
@z 0.0174056891335
@t0 58339.1667466
time band flux fluxerr zp zpsys
58331.1667466 smg 41982.8441796 1136.71968282 27.1090991799 ab
58336.1667466 smg 38753.9863726 1311.08538909 26.850475226 ab
58340.1667466 smg 57123.2354313 1173.2722407 27.3408084648 ab
58344.1667466 smg 26160.8648887 212.637163175 26.4992632109 ab
58348.1667466 smg 334062.378363 2083.31638369 29.3961255497 ab
58353.1667466 smg 14937.0226342 828.715126229 26.3820183325 ab
58357.1667466 smg 5976.46278159 1214.87456825 25.9125021548 ab
58361.1667466 smg 21353.1858972 3723.61351533 27.3073517326 ab
58366.1667466 smg 12951.7271586 3914.3360262 26.9303660263 ab
58370.1667466 smg 16561.4238878 134.398580013 27.5772569934 ab
58375.1667466 smg 7421.93305707 90.9131321189 27.0684006967 ab
58379.1667466 smg 4122.4590449 1400.44796195 26.1904428245 ab
58383.1667466 smg -3658.84640704 10301.7060297 26.5331342213 ab
58331.1668855 smr 5902.95652904 1120.63577715 25.2650797318 ab
58336.1668855 smr 5489.09470797 1298.20056475 25.2174008683 ab
58340.1668855 smr 7515.94009131 1149.96690143 25.4046625222 ab
58344.1668855 smr 2783.29009079 147.805084992 24.4991922446 ab
58348.1668855 smr 5487.75969592 2002.98052567 25.1386690423 ab
58353.1668855 smr 4515.65668047 822.194917435 25.6355564444 ab
58357.1668855 smr 3934.27280149 1213.26639741 25.5812100881 ab
58361.1668855 smr -959.713640898 3720.99758525 24.9105141243 ab
58366.1668855 smr 7002.42775316 3913.18686919 25.0634227466 ab
58370.1668855 smr 2925.72795665 65.3603634726 25.2517106831 ab
58375.1668855 smr 1274.29830563 44.5209244589 24.5680306969 ab
58379.1668855 smr 2769.96642103 1399.85337605 24.6732045776 ab
58383.1668855 smr 10252.1487176 10301.5777383 24.3472066715 ab
58331.1670244 smi 8957.37230231 1122.31478384 26.4675269418 ab
58336.1670244 smi 13157.6371946 1301.22105302 26.9199930938 ab
58340.1670244 smi 20142.6837499 1156.23906562 27.6039246685 ab
58344.1670244 smi 6639.60766314 159.600173675 26.4016540201 ab
58348.1670244 smi 13695.4316633 2005.87059825 27.5773906297 ab
58353.1670244 smi 7641.57472538 824.243203988 27.2814507414 ab
58357.1670244 smi 8312.84523719 1214.86134695 27.3852659028 ab
58361.1670244 smi 6858.04520851 3721.13773589 26.3837309048 ab
58366.1670244 smi 5734.61805327 3913.92874665 27.013972793 ab
58370.1670244 smi 4757.92813696 78.0578565626 26.2661445834 ab
58375.1670244 smi 21444.4387255 149.164169628 28.0325216715 ab
58379.1670244 smi 6061.86743096 1401.64288083 26.9289140828 ab
58383.1670244 smi -3202.38227056 10301.7637973 26.8394513451 ab
58322.1667466 kst 512.713830403 22.9636822053 25.47 ab
58322.4167466 kst 600.795027921 24.7510775558 25.47 ab
58322.6667466 kst 716.4965253 26.5843787211 25.47 ab
58322.9167466 kst 836.251024254 28.491067486 25.47 ab
58323.1667466 kst 960.469067789 30.4748587552 25.47 ab
58323.4167466 kst 1061.20003331 32.4976695397 25.47 ab
58323.6667466 kst 1212.70155149 34.5239957899 25.47 ab
58323.9167466 kst 1375.30135719 36.5262311444 25.47 ab
58324.1667466 kst 1402.63592758 38.5157171723 25.47 ab
58324.4167466 kst 1556.60814425 40.5020265218 25.47 ab
58324.6667466 kst 1789.38455827 42.4698343011 25.47 ab
58324.9167466 kst 1932.75642734 44.406516454 25.47 ab
58325.1667466 kst 2187.64794966 46.3329098075 25.47 ab
58325.4167466 kst 2301.70116069 48.2534090964 25.47 ab
58325.6667466 kst 2595.60385537 50.1313126819 25.47 ab
58325.9167466 kst 2819.22581388 51.9351356609 25.47 ab
